2	0.0135197
3	0.0237598
4	0.0272072
8	0.0307924
32	0.0352057
34	0.0384646
36	0.0417748
38	0.0451338
40	0.0485454
43	0.052031
46	0.0555917
49	0.0592267
53	0.0629616
58	0.0668231
64	0.0708346
67	0.0712886
71	0.0717539
75	0.0722301
80	0.0727202
85	0.0732239
91	0.073745
98	0.0742855
107	0.0748514
116	0.0754417
128	0.0760659
135	0.0812134
142	0.086517
151	0.0920184
160	0.0977245
171	0.1036747
183	0.1098919
197	0.1164232
213	0.123304
233	0.1306324
256	0.1384729
269	0.1682101
284	0.1991661
301	0.2315179
320	0.2654143
341	0.301016
366	0.3386539
394	0.3785706
427	0.4211829
465	0.4668845
512	0.5164071
539	0.5219373
569	0.5277282
602	0.5338028
640	0.5402034
683	0.546983
731	0.5541856
788	0.5618809
853	0.5701417
931	0.5790853
1024	0.5888361
1078	0.5937334
1365	0.6161765
2048	0.6563464
3151	0.707908
4096	0.7394915
5120	0.7509311
6302	0.7616448
7447	0.7703253
8192	0.7752815
9102	0.7769323
10240	0.7787898
11703	0.78091
12603	0.782087
13653	0.7833591
14895	0.7847285
16384	0.7862424
17246	0.7870482
18204	0.7878897
19275	0.7887751
20480	0.7897278
25206	0.7929897
29789	0.7956252
34493	0.7985326
40960	0.8032231
46811	0.8069026
50412	0.8089254
54613	0.8111514
59578	0.8135755
65536	0.8162021
72818	0.8304795
81920	0.8465116
93623	0.8646585
100825	0.8748434
119156	0.8976743
137971	0.9135879
163840	0.9229642
187246	0.9303517
201649	0.9343988
262144	0.9487543
308405	0.9500346
403298	0.9521644
524288	0.9541748
1071908	0.9701493
3529904	0.9999998
